"season","yw","syndrome","active","method"
2020,202040,"active",8874,"unknown"
2020,202041,"active",8934,"unknown"
2020,202042,"active",9131,"unknown"
2020,202043,"active",9329,"unknown"
2020,202044,"active",9398,"unknown"
2020,202045,"active",9530,"unknown"
2020,202046,"active",9611,"unknown"
2020,202047,"active",9585,"unknown"
2020,202048,"active",9606,"unknown"
2020,202049,"active",9700,"unknown"
2020,202050,"active",10476,"unknown"
2020,202051,"active",10610,"unknown"
2020,202052,"active",10715,"unknown"
2020,202053,"active",10928,"unknown"
2020,202101,"active",10900,"unknown"
2020,202102,"active",10928,"unknown"
2020,202103,"active",10866,"unknown"
2020,202104,"active",10783,"unknown"
2020,202105,"active",10797,"unknown"
2020,202106,"active",10776,"unknown"
2020,202107,"active",10691,"unknown"
2020,202108,"active",10706,"unknown"
2020,202109,"active",10646,"unknown"
2020,202110,"active",10616,"unknown"
2020,202111,"active",10655,"unknown"
2020,202112,"active",10545,"unknown"
2020,202113,"active",10542,"unknown"
2020,202114,"active",10500,"unknown"
2020,202115,"active",10395,"unknown"
2020,202116,"active",10328,"unknown"
2020,202117,"active",10282,"unknown"
2020,202118,"active",10128,"unknown"
2020,202119,"active",10102,"unknown"
2020,202120,"active",9990,"unknown"
2020,202121,"active",9893,"unknown"
2020,202122,"active",9885,"unknown"
2020,202123,"active",9820,"unknown"
2020,202124,"active",9748,"unknown"
2020,202125,"active",9726,"unknown"
2020,202126,"active",9699,"unknown"
2020,202127,"active",9648,"unknown"
2020,202128,"active",9604,"unknown"
2020,202129,"active",9642,"unknown"
2020,202130,"active",9473,"unknown"
2020,202131,"active",9496,"unknown"
2020,202132,"active",9482,"unknown"
2020,202133,"active",9433,"unknown"
2020,202134,"active",9468,"unknown"
2021,202135,"active",9496,"unknown"
2021,202136,"active",9609,"unknown"
2021,202137,"active",9665,"unknown"
2021,202138,"active",9620,"unknown"
2021,202139,"active",9638,"unknown"
2021,202140,"active",9712,"unknown"
2021,202141,"active",9687,"unknown"
2021,202142,"active",9716,"unknown"
2021,202143,"active",9681,"unknown"
2021,202144,"active",9662,"unknown"
2021,202145,"active",9630,"unknown"
2021,202146,"active",9640,"unknown"
2021,202147,"active",9610,"unknown"
2021,202148,"active",9500,"unknown"
2021,202149,"active",9543,"unknown"
2021,202150,"active",9532,"unknown"
2021,202151,"active",9552,"unknown"
2021,202152,"active",9612,"unknown"
2021,202201,"active",9637,"unknown"
2021,202202,"active",9602,"unknown"
2021,202203,"active",9483,"unknown"
2021,202204,"active",9499,"unknown"
2021,202205,"active",9410,"unknown"
2021,202206,"active",9314,"unknown"
2021,202207,"active",9250,"unknown"
2021,202208,"active",9154,"unknown"
2021,202209,"active",9148,"unknown"
2021,202210,"active",9146,"unknown"
2021,202211,"active",9078,"unknown"
2021,202212,"active",9103,"unknown"
2021,202213,"active",9035,"unknown"
2021,202214,"active",8907,"unknown"
2021,202215,"active",8857,"unknown"
2021,202216,"active",8948,"unknown"
2021,202217,"active",8862,"unknown"
2021,202218,"active",8736,"unknown"
2021,202219,"active",8761,"unknown"
2021,202220,"active",8685,"unknown"
2021,202221,"active",8776,"unknown"
2021,202222,"active",8749,"unknown"
2021,202223,"active",9112,"unknown"
2021,202224,"active",9230,"unknown"
2021,202225,"active",9269,"unknown"
2021,202226,"active",9195,"unknown"
2021,202227,"active",8191,"unknown"
2021,202228,"active",8276,"unknown"
2021,202229,"active",8277,"unknown"
2021,202230,"active",8196,"unknown"
2021,202231,"active",8203,"unknown"
2021,202232,"active",8042,"unknown"
2021,202233,"active",7993,"unknown"
2021,202234,"active",8052,"unknown"
2022,202235,"active",8093,"unknown"
2022,202236,"active",8230,"unknown"
2022,202237,"active",8223,"unknown"
2022,202238,"active",8285,"unknown"
2022,202239,"active",8326,"unknown"
2022,202240,"active",8278,"unknown"
2022,202241,"active",8508,"unknown"
2022,202242,"active",8532,"unknown"
2022,202243,"active",8574,"unknown"
2022,202244,"active",8688,"unknown"
2022,202245,"active",8840,"unknown"
2022,202246,"active",8963,"unknown"
2022,202247,"active",9077,"unknown"
2022,202248,"active",9205,"unknown"
2022,202249,"active",9293,"unknown"
2022,202250,"active",9370,"unknown"
2022,202251,"active",9438,"unknown"
2022,202252,"active",9664,"unknown"
2022,202301,"active",9461,"unknown"
2022,202302,"active",9459,"unknown"
2022,202303,"active",9420,"unknown"
2022,202304,"active",9312,"unknown"
2022,202305,"active",9187,"unknown"
2022,202306,"active",9025,"unknown"
2022,202307,"active",9129,"unknown"
2022,202308,"active",9171,"unknown"
2022,202309,"active",8904,"unknown"
2022,202310,"active",8449,"unknown"
2022,202311,"active",6727,"unknown"
